time,PeakPeriod-5,PeakPeriod-4,PeakPeriod-3,PeakPeriod-2,PeakPeriod-1,UpcrossPeriod-5,UpcrossPeriod-4,UpcrossPeriod-3,UpcrossPeriod-2,UpcrossPeriod-1,SignificantWaveHeight-5,SignificantWaveHeight-4,SignificantWaveHeight-3,SignificantWaveHeight-2,SignificantWaveHeight-1,SignificantWaveHeight+1
2009-12-04 18:00:00+00:00,25.0,23.61,20.2,23.61,25.0,15.692499999999999,16.667,16.3335,11.073,16.3335,0.01,0.01,0.385,0.02,0.01,0.01
2009-12-04 19:00:00+00:00,23.61,20.2,23.61,25.0,25.0,16.667,16.3335,11.073,16.3335,16.3335,0.01,0.385,0.02,0.01,0.01,0.01
2009-12-04 20:00:00+00:00,20.2,23.61,25.0,25.0,26.785,16.3335,11.073,16.3335,16.3335,16.3335,0.385,0.02,0.01,0.01,0.01,0.01
2009-12-04 21:00:00+00:00,23.61,25.0,25.0,26.785,22.5,11.073,16.3335,16.3335,16.3335,15.692499999999999,0.02,0.01,0.01,0.01,0.01,0.01
2009-12-04 22:00:00+00:00,25.0,25.0,26.785,22.5,23.61,16.3335,16.3335,16.3335,15.692499999999999,17.029,0.01,0.01,0.01,0.01,0.01,0.01
2009-12-04 23:00:00+00:00,25.0,26.785,22.5,23.61,23.61,16.3335,16.3335,15.692499999999999,17.029,16.3335,0.01,0.01,0.01,0.01,0.01,0.01
2009-12-05 00:00:00+00:00,26.785,22.5,23.61,23.61,25.0,16.3335,15.692499999999999,17.029,16.3335,16.667,0.01,0.01,0.01,0.01,0.01,0.01
2009-12-05 01:00:00+00:00,22.5,23.61,23.61,25.0,23.61,15.692499999999999,17.029,16.3335,16.667,16.667,0.01,0.01,0.01,0.01,0.01,0.01
2009-12-05 02:00:00+00:00,23.61,23.61,25.0,23.61,23.61,17.029,16.3335,16.667,16.667,16.6955,0.01,0.01,0.01,0.01,0.01,0.01
2009-12-05 03:00:00+00:00,23.61,25.0,23.61,23.61,22.22,16.3335,16.667,16.667,16.6955,16.0,0.01,0.01,0.01,0.01,0.01,0.01
2009-12-05 04:00:00+00:00,25.0,23.61,23.61,22.22,22.5,16.667,16.667,16.6955,16.0,16.026,0.01,0.01,0.01,0.01,0.01,0.01
2009-12-05 05:00:00+00:00,23.61,23.61,22.22,22.5,25.0,16.667,16.6955,16.0,16.026,17.424500000000002,0.01,0.01,0.01,0.01,0.01,0.01
2009-12-05 06:00:00+00:00,23.61,22.22,22.5,25.0,23.61,16.6955,16.0,16.026,17.424500000000002,16.6955,0.01,0.01,0.01,0.01,0.01,0.01
2009-12-05 07:00:00+00:00,22.22,22.5,25.0,23.61,21.11,16.0,16.026,17.424500000000002,16.6955,16.3335,0.01,0.01,0.01,0.01,0.01,0.01
2009-12-05 08:00:00+00:00,22.5,25.0,23.61,21.11,23.61,16.026,17.424500000000002,16.6955,16.3335,16.667,0.01,0.01,0.01,0.01,0.01,0.01
2009-12-05 09:00:00+00:00,25.0,23.61,21.11,23.61,23.61,17.424500000000002,16.6955,16.3335,16.667,16.3335,0.01,0.01,0.01,0.01,0.01,0.01
2009-12-05 10:00:00+00:00,23.61,21.11,23.61,23.61,23.61,16.6955,16.3335,16.667,16.3335,16.3335,0.01,0.01,0.01,0.01,0.01,0.01
2009-12-05 11:00:00+00:00,21.11,23.61,23.61,23.61,22.22,16.3335,16.667,16.3335,16.3335,16.026,0.01,0.01,0.01,0.01,0.01,0.01
2009-12-05 12:00:00+00:00,23.61,23.61,23.61,22.22,23.61,16.667,16.3335,16.3335,16.026,17.029,0.01,0.01,0.01,0.01,0.01,0.01
2009-12-05 13:00:00+00:00,23.61,23.61,22.22,23.61,25.0,16.3335,16.3335,16.026,17.029,17.029,0.01,0.01,0.01,0.01,0.01,0.01
2009-12-05 14:00:00+00:00,23.61,22.22,23.61,25.0,23.61,16.3335,16.026,17.029,17.029,16.667,0.01,0.01,0.01,0.01,0.01,0.01
2009-12-05 15:00:00+00:00,22.22,23.61,25.0,23.61,23.61,16.026,17.029,17.029,16.667,16.102999999999998,0.01,0.01,0.01,0.01,0.01,0.01
2009-12-05 16:00:00+00:00,23.61,25.0,23.61,23.61,25.0,17.029,17.029,16.667,16.102999999999998,16.026,0.01,0.01,0.01,0.01,0.01,0.01
2009-12-05 17:00:00+00:00,25.0,23.61,23.61,25.0,25.0,17.029,16.667,16.102999999999998,16.026,17.029,0.01,0.01,0.01,0.01,0.01,0.01
2009-12-05 18:00:00+00:00,23.61,23.61,25.0,25.0,23.61,16.667,16.102999999999998,16.026,17.029,17.029,0.01,0.01,0.01,0.01,0.01,0.01
2009-12-05 19:00:00+00:00,23.61,25.0,25.0,23.61,23.61,16.102999999999998,16.026,17.029,17.029,16.667,0.01,0.01,0.01,0.01,0.01,0.01
2009-12-05 20:00:00+00:00,25.0,25.0,23.61,23.61,25.395,16.026,17.029,17.029,16.667,15.692499999999999,0.01,0.01,0.01,0.01,0.01,0.01
2009-12-05 21:00:00+00:00,25.0,23.61,23.61,25.395,25.0,17.029,17.029,16.667,15.692499999999999,16.0,0.01,0.01,0.01,0.01,0.01,0.01
2009-12-05 22:00:00+00:00,23.61,23.61,25.395,25.0,25.0,17.029,16.667,15.692499999999999,16.0,16.0,0.01,0.01,0.01,0.01,0.01,0.01
2009-12-05 23:00:00+00:00,23.61,25.395,25.0,25.0,25.0,16.667,15.692499999999999,16.0,16.0,16.026,0.01,0.01,0.01,0.01,0.01,0.01
2009-12-06 00:00:00+00:00,25.395,25.0,25.0,25.0,23.61,15.692499999999999,16.0,16.0,16.026,16.026,0.01,0.01,0.01,0.01,0.01,0.01
2009-12-06 01:00:00+00:00,25.0,25.0,25.0,23.61,23.61,16.0,16.0,16.026,16.026,16.026,0.01,0.01,0.01,0.01,0.01,0.01
2009-12-06 02:00:00+00:00,25.0,25.0,23.61,23.61,26.785,16.0,16.026,16.026,16.026,16.667,0.01,0.01,0.01,0.01,0.01,0.01
2009-12-06 03:00:00+00:00,25.0,23.61,23.61,26.785,25.0,16.026,16.026,16.026,16.667,16.3335,0.01,0.01,0.01,0.01,0.01,0.01
2009-12-06 04:00:00+00:00,23.61,23.61,26.785,25.0,25.0,16.026,16.026,16.667,16.3335,16.026,0.01,0.01,0.01,0.01,0.01,0.01
2009-12-06 05:00:00+00:00,23.61,26.785,25.0,25.0,25.0,16.026,16.667,16.3335,16.026,16.026,0.01,0.01,0.01,0.01,0.01,0.01
2009-12-06 06:00:00+00:00,26.785,25.0,25.0,25.0,26.785,16.667,16.3335,16.026,16.026,16.3335,0.01,0.01,0.01,0.01,0.01,0.01
2009-12-06 07:00:00+00:00,25.0,25.0,25.0,26.785,25.0,16.3335,16.026,16.026,16.3335,16.6955,0.01,0.01,0.01,0.01,0.01,0.01
2009-12-06 08:00:00+00:00,25.0,25.0,26.785,25.0,23.61,16.026,16.026,16.3335,16.6955,16.3335,0.01,0.01,0.01,0.01,0.01,0.01
2009-12-06 09:00:00+00:00,25.0,26.785,25.0,23.61,26.785,16.026,16.3335,16.6955,16.3335,16.026,0.01,0.01,0.01,0.01,0.01,0.01
2009-12-06 10:00:00+00:00,26.785,25.0,23.61,26.785,23.61,16.3335,16.6955,16.3335,16.026,16.3335,0.01,0.01,0.01,0.01,0.01,0.01
2009-12-06 11:00:00+00:00,25.0,23.61,26.785,23.61,25.0,16.6955,16.3335,16.026,16.3335,16.3335,0.01,0.01,0.01,0.01,0.01,0.01
2009-12-06 12:00:00+00:00,23.61,26.785,23.61,25.0,25.0,16.3335,16.026,16.3335,16.3335,16.6955,0.01,0.01,0.01,0.01,0.01,0.01
2009-12-06 13:00:00+00:00,26.785,23.61,25.0,25.0,25.0,16.026,16.3335,16.3335,16.6955,16.6955,0.01,0.01,0.01,0.01,0.01,0.01
2009-12-06 14:00:00+00:00,23.61,25.0,25.0,25.0,25.0,16.3335,16.3335,16.6955,16.6955,16.3335,0.01,0.01,0.01,0.01,0.01,0.01
2009-12-06 15:00:00+00:00,25.0,25.0,25.0,25.0,22.22,16.3335,16.6955,16.6955,16.3335,16.3335,0.01,0.01,0.01,0.01,0.01,0.01
